State,City,Airport,LocID,"Ownership","Svc Lvl","Hub","Role","Enplaned","Based Aircraft","Development Estimate 2025-2029"
Alaska,Sitka,Sitka Rocky Gutierrez,SIT,PU,P,N,,"96,214",25,"45,456,446"
Alaska,Skagway,Skagway,SGY,PU,CS,,Local,"4,953",20,"1,120,000"
Alaska,Skwentna,Skwentna,SKW,PU,GA,,Basic,92,0,"17,353,000"
Alaska,Sleetmute,Sleetmute,SLQ,PU,GA,,Basic,514,0,0
Alaska,Soldotna,Soldotna,SXQ,PU,GA,,Local,2,150,"2,375,000"
Alaska,South Naknek,South Naknek Nr 2,WSN,PU,GA,,Basic,51,2,"2,000,000"
Alaska,St. George,St George,PBV,PU,GA,,Basic,274,0,"4,692,522"
Alaska,Stebbins,Stebbins,WBB,PU,GA,,Basic,"2,049",0,"17,900,000"
Alaska,Stevens Village,Stevens Village,SVS,PU,GA,,Basic,274,0,"1,690,000"
Alaska,Stony River,Stony River 2,SRV,PU,GA,,Basic,200,0,"15,300,000"
Alaska,Takotna,Takotna,TCT,PU,GA,,Basic,470,0,"16,982,000"
Alaska,Talkeetna,Talkeetna,TKA,PU,GA,,Local,0,66,"6,836,800"
Alaska,Tanana,Ralph M Calhoun Memorial,TAL,PU,GA,,Basic,"1,703",0,"10,321,762"
Alaska,Tatitlek,Tatitlek,7KA,PU,GA,,Basic,549,0,"8,850,000"
Alaska,Telida,Telida,2K5,PU,GA,,Basic,0,0,0
Alaska,Teller,Teller,TER,PU,GA,,Basic,"1,333",0,"16,132,748"
Alaska,Tenakee Springs,Tenakee,TKE,PU,GA,,Basic,451,0,"1,200,000"
